"id","parent_id:id","name"
"of_naf_22_29","of_naf_22_2","[22.29] Fabrication d'autres articles en matières plastiques"
"of_naf_23","of_naf_C","[23] Fabrication d'autres produits minéraux non métalliques"
"of_naf_23_1","of_naf_23","[23.1] Fabrication de verre et d'articles en verre"
"of_naf_23_11","of_naf_23_1","[23.11] Fabrication de verre plat"
"of_naf_23_12","of_naf_23_1","[23.12] Façonnage et transformation du verre plat"
"of_naf_23_13","of_naf_23_1","[23.13] Fabrication de verre creux"
"of_naf_23_14","of_naf_23_1","[23.14] Fabrication de fibres de verre"
"of_naf_23_19","of_naf_23_1","[23.19] Fabrication et façonnage d'autres articles en verre, y compris verre technique"
"of_naf_23_2","of_naf_23","[23.2] Fabrication de produits réfractaires"
"of_naf_23_20","of_naf_23_2","[23.20] Fabrication de produits réfractaires"
"of_naf_23_3","of_naf_23","[23.3] Fabrication de matériaux de construction en terre cuite"
"of_naf_23_31","of_naf_23_3","[23.31] Fabrication de carreaux en céramique"
"of_naf_23_32","of_naf_23_3","[23.32] Fabrication de briques, tuiles et produits de construction, en terre cuite"
"of_naf_23_4","of_naf_23","[23.4] Fabrication d'autres produits en céramique et en porcelaine "
"of_naf_23_41","of_naf_23_4","[23.41] Fabrication d'articles céramiques à usage domestique ou ornemental"
"of_naf_23_42","of_naf_23_4","[23.42] Fabrication d'appareils sanitaires en céramique"
"of_naf_23_43","of_naf_23_4","[23.43] Fabrication d'isolateurs et pièces isolantes en céramique"
"of_naf_23_44","of_naf_23_4","[23.44] Fabrication d'autres produits céramiques à usage technique"
"of_naf_23_49","of_naf_23_4","[23.49] Fabrication d'autres produits céramiques"
"of_naf_23_5","of_naf_23","[23.5] Fabrication de ciment, chaux et plâtre"
"of_naf_23_51","of_naf_23_5","[23.51] Fabrication de ciment"
"of_naf_23_52","of_naf_23_5","[23.52] Fabrication de chaux et plâtre"
"of_naf_23_6","of_naf_23","[23.6] Fabrication d'ouvrages en béton, en ciment ou en plâtre"
"of_naf_23_61","of_naf_23_6","[23.61] Fabrication d'éléments en béton pour la construction"
"of_naf_23_62","of_naf_23_6","[23.62] Fabrication d'éléments en plâtre pour la construction"
"of_naf_23_63","of_naf_23_6","[23.63] Fabrication de béton prêt à l'emploi"
"of_naf_23_64","of_naf_23_6","[23.64] Fabrication de mortiers et bétons secs"
"of_naf_23_65","of_naf_23_6","[23.65] Fabrication d'ouvrages en fibre ciment"
"of_naf_23_69","of_naf_23_6","[23.69] Fabrication d'autres ouvrages en béton, en ciment ou en plâtre"
"of_naf_23_7","of_naf_23","[23.7] Taille, façonnage et finissage de pierres "
"of_naf_23_70","of_naf_23_7","[23.70] Taille, façonnage et finissage de pierres"
"of_naf_23_9","of_naf_23","[23.9] Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a."
"of_naf_23_91","of_naf_23_9","[23.91] Fabrication de produits abrasifs"
"of_naf_23_99","of_naf_23_9","[23.99] Fabrication d'autres produits minéraux non métalliques n.c.a."
"of_naf_24","of_naf_C","[24] Métallurgie"
"of_naf_24_1","of_naf_24","[24.1] Sidérurgie"
"of_naf_24_10","of_naf_24_1","[24.10] Sidérurgie"
"of_naf_24_2","of_naf_24","[24.2] Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier "
"of_naf_24_20","of_naf_24_2","[24.20] Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier "
"of_naf_24_3","of_naf_24","[24.3] Fabrication d'autres produits de première transformation de l'acier"
"of_naf_24_31","of_naf_24_3","[24.31] Étirage à froid de barres"
"of_naf_24_32","of_naf_24_3","[24.32] Laminage à froid de feuillards"
"of_naf_24_33","of_naf_24_3","[24.33] Profilage à froid par formage ou pliage"
"of_naf_24_34","of_naf_24_3","[24.34] Tréfilage à froid"
"of_naf_24_4","of_naf_24","[24.4] Production de métaux précieux et d'autres métaux non ferreux"
"of_naf_24_41","of_naf_24_4","[24.41] Production de métaux précieux"
"of_naf_24_42","of_naf_24_4","[24.42] Métallurgie de l'aluminium"
"of_naf_24_43","of_naf_24_4","[24.43] Métallurgie du plomb, du zinc ou de l'étain"
"of_naf_24_44","of_naf_24_4","[24.44] Métallurgie du cuivre"
"of_naf_24_45","of_naf_24_4","[24.45] Métallurgie des autres métaux non ferreux"
"of_naf_24_46","of_naf_24_4","[24.46] Élaboration et transformation de matières nucléaires"
"of_naf_24_5","of_naf_24","[24.5] Fonderie"
"of_naf_24_51","of_naf_24_5","[24.51] Fonderie de fonte"
"of_naf_24_52","of_naf_24_5","[24.52] Fonderie d'acier"
"of_naf_24_53","of_naf_24_5","[24.53] Fonderie de métaux légers"
"of_naf_24_54","of_naf_24_5","[24.54] Fonderie d'autres métaux non ferreux"
"of_naf_25","of_naf_C","[25] Fabrication de produits métalliques, à l’exception des machines et des équipements"
"of_naf_25_1","of_naf_25","[25.1] Fabrication d'éléments en métal pour la construction"
